order_id,product_id,user_id,quantity,unit_price,discount,item_total,price,total_price
O00000001,P000268,U000296,3,8268.68,0.0,24806.04,8933.01,26799.03
O00000001,P000275,U000296,1,15246.7,0.0,15246.7,14726.16,14726.16
O00000001,P000127,U000296,3,3483.51,1369.91,9080.62,3350.66,10051.98
O00000002,P000117,U000003,3,9365.66,0.0,28096.98,8976.59,26929.77
O00000002,P000224,U000003,3,5715.17,2955.58,14189.93,5637.75,16913.25
O00000002,P000060,U000003,3,4541.08,0.0,13623.24,4608.61,13825.83
O00000002,P000217,U000003,2,16269.61,6262.5,26276.72,15998.87,31997.74
O00000003,P000194,U000428,2,2100.12,0.0,4200.24,1939.08,3878.16
O00000004,P000176,U000022,2,14193.55,0.0,28387.1,14264.88,28529.76
O00000005,P000242,U000226,1,5189.97,0.0,5189.97,4807.95,4807.95
O00000005,P000209,U000226,2,12516.83,4993.91,20039.75,12376.83,24753.66
O00000006,P000220,U000266,2,7809.66,3556.86,12062.46,7496.25,14992.5
O00000006,P000048,U000266,2,6768.21,0.0,13536.42,7069.52,14139.04
O00000006,P000202,U000266,2,19649.72,0.0,39299.44,20785.25,41570.5
O00000007,P000215,U000442,1,5291.77,850.53,4441.24,5182.33,5182.33
O00000007,P000126,U000442,3,4854.37,0.0,14563.11,5044.27,15132.81
O00000007,P000036,U000442,1,10336.01,0.0,10336.01,11457.98,11457.98
O00000008,P000293,U000118,2,6199.6,1561.24,10837.96,5883.39,11766.78
O00000008,P000156,U000118,3,11438.1,5325.01,28989.29,11621.08,34863.24
O00000008,P000146,U000118,1,9449.91,0.0,9449.91,10242.21,10242.21
O00000009,P000179,U000036,2,10307.32,3930.71,16683.93,9889.19,19778.38
O00000010,P000281,U000166,1,8019.93,0.0,8019.93,7570.3,7570.3
O00000010,P000040,U000166,2,7940.78,0.0,15881.56,8143.45,16286.9
O00000011,P000119,U000016,1,3640.25,577.53,3062.72,3582.64,3582.64
O00000011,P000066,U000016,1,6213.6,0.0,6213.6,5771.09,5771.09
O00000011,P000079,U000016,1,14682.81,1794.02,12888.79,14421.0,14421.0
O00000011,P000077,U000016,3,8564.09,0.0,25692.27,7912.32,23736.96
O00000012,P000240,U000459,1,6804.34,0.0,6804.34,6484.37,6484.37
O00000013,P000284,U000321,2,9076.51,1860.39,16292.63,9025.31,18050.62
O00000014,P000016,U000477,3,10758.22,0.0,32274.66,11307.44,33922.32
O00000015,P000287,U000197,2,4903.42,0.0,9806.84,4597.86,9195.72
O00000015,P000043,U000197,2,18674.33,6994.85,30353.81,17391.37,34782.74
O00000015,P000154,U000197,1,4974.37,967.59,4006.78,4602.67,4602.67
O00000016,P000172,U000293,1,9083.77,0.0,9083.77,9326.16,9326.16
O00000016,P000012,U000293,3,13516.12,7947.97,32600.39,13868.33,41604.99
O00000016,P000175,U000293,3,4257.79,1262.26,11511.11,4714.96,14144.88
O00000017,P000130,U000217,3,10427.91,0.0,31283.73,9669.73,29009.19
O00000017,P000069,U000217,3,3596.79,0.0,10790.37,3904.83,11714.49
O00000018,P000104,U000383,3,2685.95,652.47,7405.38,2558.3,7674.9
O00000018,P000115,U000383,2,7218.51,3694.7,10742.32,6741.12,13482.24
O00000018,P000118,U000383,3,6260.94,4501.31,14281.51,6809.5,20428.5
O00000019,P000039,U000022,2,7883.59,0.0,15767.18,8020.67,16041.34
O00000019,P000007,U000022,2,8222.33,0.0,16444.66,9020.41,18040.82
O00000019,P000100,U000022,3,12388.03,0.0,37164.09,11748.29,35244.87
O00000020,P000261,U000140,3,5573.62,1664.97,15055.89,5373.67,16121.01
O00000020,P000209,U000140,2,13606.48,2043.21,25169.75,12376.83,24753.66
O00000021,P000285,U000467,3,6681.58,5456.26,14588.48,7319.3,21957.9
O00000021,P000202,U000467,3,22034.23,0.0,66102.69,20785.25,62355.75
O00000021,P000109,U000467,3,6223.3,0.0,18669.9,6452.31,19356.93
O00000021,P000179,U000467,2,9491.1,5155.57,13826.63,9889.19,19778.38
O00000022,P000231,U000376,3,19986.27,17272.59,42686.22,18520.65,55561.95
O00000023,P000278,U000051,2,11273.59,0.0,22547.18,10907.04,21814.08
O00000023,P000096,U000051,1,4468.66,0.0,4468.66,4280.67,4280.67
O00000023,P000086,U000051,2,8626.09,0.0,17252.18,8156.67,16313.34
O00000023,P000127,U000051,2,3060.92,1766.12,4355.72,3350.66,6701.32
O00000024,P000033,U000306,2,12018.65,3500.12,20537.18,10991.17,21982.34
O00000024,P000244,U000306,3,8294.07,0.0,24882.21,7884.59,23653.77
O00000024,P000228,U000306,1,8463.77,1466.79,6996.98,8282.4,8282.4
O00000025,P000197,U000250,2,12174.51,6762.29,17586.73,13369.29,26738.58
O00000026,P000082,U000212,2,12959.34,0.0,25918.68,11929.09,23858.18
O00000027,P000279,U000007,3,13168.71,0.0,39506.13,13552.5,40657.5
O00000027,P000199,U000007,2,7073.02,0.0,14146.04,7289.43,14578.86
O00000027,P000017,U000007,3,29077.83,15855.17,71378.32,27044.89,81134.67
O00000028,P000283,U000386,1,13719.48,0.0,13719.48,15117.7,15117.7
O00000028,P000180,U000386,1,5109.62,0.0,5109.62,5060.05,5060.05
O00000028,P000154,U000386,3,5058.82,0.0,15176.46,4602.67,13808.01
O00000028,P000093,U000386,1,5559.48,0.0,5559.48,5598.67,5598.67
O00000029,P000134,U000181,1,2864.91,0.0,2864.91,2734.96,2734.96
O00000029,P000018,U000181,3,21382.09,0.0,64146.27,20127.07,60381.21
O00000029,P000157,U000181,3,5517.7,0.0,16553.1,5185.82,15557.46
O00000030,P000139,U000301,1,2051.02,0.0,2051.02,2222.52,2222.52
O00000030,P000135,U000301,1,22863.2,0.0,22863.2,22774.94,22774.94
O00000031,P000280,U000198,2,7138.68,0.0,14277.36,7290.1,14580.2
O00000031,P000220,U000198,2,7654.04,0.0,15308.08,7496.25,14992.5
O00000031,P000171,U000198,3,8581.45,0.0,25744.35,8566.44,25699.32
O00000032,P000284,U000305,3,9621.61,6891.13,21973.7,9025.31,27075.93
O00000032,P000051,U000305,3,9428.73,6215.96,22070.23,9402.85,28208.55
O00000032,P000082,U000305,2,11985.46,0.0,23970.92,11929.09,23858.18
