order_id,user_id,order_datetime,num_items,subtotal,shipping_fee,tax,discount_total,total,payment_method,order_status,shipping_city,shipping_country
O00000001,U000296,2023-06-01 20:17:27,7,49133.36,0.0,8844.0,1369.91,57977.36,Credit Card,delivered,Bengaluru,India
O00000002,U000003,2023-11-03 22:38:52,11,82186.87,0.0,14793.64,9218.08,96980.51,UPI,delivered,Surat,India
O00000003,U000428,2024-09-02 23:16:07,2,4200.24,0.0,756.04,0.0,4956.28,UPI,delivered,Indore,India
O00000004,U000022,2024-08-28 22:34:41,2,28387.1,0.0,5109.68,0.0,33496.78,Credit Card,delivered,Patna,India
O00000005,U000226,2023-01-25 02:51:49,3,25229.72,0.0,4541.35,4993.91,29771.07,COD,delivered,Surat,India
O00000006,U000266,2023-09-05 20:11:37,6,64898.32,0.0,11681.7,3556.86,76580.02,Credit Card,pending,Kolkata,India
O00000007,U000442,2021-12-23 12:15:32,5,29340.36,0.0,5281.26,850.53,34621.62,Credit Card,delivered,Chicago,United States
O00000008,U000118,2024-10-07 09:37:15,6,49277.16,0.0,8869.89,6886.25,58147.05,Net Banking,delivered,Mumbai,India
O00000009,U000036,2024-04-15 04:05:41,2,16683.93,0.0,3003.11,3930.71,19687.04,UPI,returned,Patna,India
O00000010,U000166,2024-10-25 14:35:28,3,23901.49,0.0,4302.27,0.0,28203.76,Credit Card,delivered,Chandigarh,India
O00000011,U000016,2024-07-20 03:45:42,6,47857.38,0.0,8614.33,2371.55,56471.71,Net Banking,delivered,Hyderabad,India
O00000012,U000459,2024-06-13 20:57:17,1,6804.34,0.0,1224.78,0.0,8029.12,Credit Card,shipped,Kolkata,India
O00000013,U000321,2023-01-31 12:40:54,2,16292.63,0.0,2932.67,1860.39,19225.3,Debit Card,returned,Patna,India
O00000014,U000477,2023-04-21 12:49:30,3,32274.66,0.0,5809.44,0.0,38084.1,UPI,delivered,Sharjah,United Arab Emirates
O00000015,U000197,2023-09-15 10:56:54,5,44167.43,0.0,7950.14,7962.44,52117.57,Net Banking,delivered,Sharjah,United Arab Emirates
O00000016,U000293,2023-04-10 15:55:48,7,53195.27,0.0,9575.15,9210.23,62770.42,Debit Card,delivered,Kochi,India
O00000017,U000217,2023-08-22 08:49:50,6,42074.1,0.0,7573.34,0.0,49647.44,COD,delivered,Bengaluru,India
O00000018,U000383,2022-12-08 16:58:45,8,32429.21,0.0,5837.26,8848.48,38266.47,COD,delivered,Coimbatore,India
O00000019,U000022,2024-01-07 23:25:43,7,69375.93,0.0,12487.67,0.0,81863.6,UPI,delivered,Patna,India
O00000020,U000140,2024-10-09 18:45:35,5,40225.64,0.0,7240.62,3708.18,47466.26,Debit Card,returned,Nagpur,India
O00000021,U000467,2024-10-07 08:05:19,11,113187.7,0.0,20373.79,10611.83,133561.49,UPI,delivered,Jaipur,India
O00000022,U000376,2024-03-07 00:48:54,3,42686.22,0.0,7683.52,17272.59,50369.74,Debit Card,delivered,Pune,India
O00000023,U000051,2023-01-18 12:18:55,7,48623.74,0.0,8752.27,1766.12,57376.01,Credit Card,delivered,Brisbane,Australia
O00000024,U000306,2024-11-15 12:30:13,6,52416.37,0.0,9434.95,4966.91,61851.32,Credit Card,delivered,Indore,India
O00000025,U000250,2024-02-07 04:30:25,2,17586.73,0.0,3165.61,6762.29,20752.34,Debit Card,delivered,Indore,India
O00000026,U000212,2024-11-28 08:59:29,2,25918.68,0.0,4665.36,0.0,30584.04,Debit Card,returned,Surat,India
O00000027,U000007,2021-05-10 05:01:01,8,125030.49,0.0,22505.49,15855.17,147535.98,COD,cancelled,Mumbai,India
O00000028,U000386,2024-06-22 20:44:05,6,39565.04,0.0,7121.71,0.0,46686.75,Credit Card,delivered,Ahmedabad,India
O00000029,U000181,2024-08-17 04:11:55,7,83564.28,0.0,15041.57,0.0,98605.85,Credit Card,delivered,Hyderabad,India
O00000030,U000301,2022-10-02 03:42:22,2,24914.22,0.0,4484.56,0.0,29398.78,Debit Card,cancelled,Kolkata,India
O00000031,U000198,2024-11-07 13:04:22,7,55329.79,0.0,9959.36,0.0,65289.15,UPI,pending,Coimbatore,India
O00000032,U000305,2023-05-01 12:25:27,8,68014.85,0.0,12242.67,13107.09,80257.52,UPI,delivered,Manchester,United Kingdom
O00000033,U000404,2022-12-23 12:54:38,4,51555.02,0.0,9279.9,6469.97,60834.92,Debit Card,delivered,Surat,India
O00000034,U000253,2023-03-25 12:57:42,8,96232.85,0.0,17321.91,0.0,113554.76,Credit Card,delivered,Hyderabad,India
O00000035,U000289,2024-12-23 20:21:32,4,36507.06,0.0,6571.27,0.0,43078.33,UPI,delivered,Berlin,Germany
O00000036,U000014,2022-08-19 10:59:39,1,10651.62,0.0,1917.29,1420.72,12568.91,Debit Card,shipped,Delhi,India
O00000037,U000169,2024-10-25 04:44:46,8,88789.7,0.0,15982.15,3288.88,104771.85,UPI,delivered,Nagpur,India
O00000038,U000110,2024-07-18 21:12:34,1,6387.69,0.0,1149.78,2188.64,7537.47,Credit Card,delivered,Lucknow,India
O00000039,U000193,2022-05-18 23:33:12,8,43643.21,0.0,7855.78,5221.17,51498.99,UPI,delivered,Munich,Germany
O00000040,U000067,2024-12-28 14:37:47,2,20362.78,0.0,3665.3,549.02,24028.08,UPI,delivered,Pune,India
O00000041,U000435,2024-11-18 13:51:20,1,8276.1,0.0,1489.7,0.0,9765.8,Credit Card,delivered,Lucknow,India
O00000042,U000308,2024-07-29 08:27:20,2,14120.46,0.0,2541.68,1465.4,16662.14,UPI,shipped,Coimbatore,India
O00000043,U000499,2023-08-09 18:43:44,2,6238.75,0.0,1122.97,613.35,7361.72,Net Banking,pending,Manchester,United Kingdom
O00000044,U000298,2024-09-04 18:45:38,6,76929.57,0.0,13847.32,0.0,90776.89,COD,delivered,Ahmedabad,India
O00000045,U000244,2024-04-14 08:11:57,5,52517.22,0.0,9453.1,0.0,61970.32,Debit Card,delivered,Surat,India
O00000046,U000425,2023-06-28 07:56:15,6,55667.21,0.0,10020.1,1801.33,65687.31,UPI,delivered,Nagpur,India
O00000047,U000364,2023-03-08 00:19:35,6,44478.52,0.0,8006.13,0.0,52484.65,UPI,delivered,Chandigarh,India
O00000048,U000108,2024-01-30 15:22:01,10,136315.87,0.0,24536.86,11121.94,160852.73,UPI,shipped,Bhopal,India
O00000049,U000145,2022-06-11 15:08:28,7,66182.95,0.0,11912.93,6076.94,78095.88,Credit Card,delivered,Indore,India
O00000050,U000324,2023-03-06 12:39:36,6,36540.64,0.0,6577.32,7403.39,43117.96,Net Banking,pending,Coimbatore,India
O00000051,U000037,2023-05-10 06:45:48,3,17562.38,0.0,3161.23,2870.19,20723.61,UPI,delivered,Sharjah,United Arab Emirates
O00000052,U000499,2023-10-15 02:59:06,2,18794.74,0.0,3383.05,4234.12,22177.79,UPI,cancelled,Manchester,United Kingdom
O00000053,U000319,2023-12-26 06:18:13,10,70157.91,0.0,12628.42,8661.22,82786.33,UPI,delivered,Jaipur,India
O00000054,U000214,2023-09-11 08:37:25,7,58380.54,0.0,10508.5,9675.72,68889.04,UPI,delivered,Coimbatore,India
O00000055,U000101,2023-03-01 01:49:53,10,71810.53,0.0,12925.9,4610.96,84736.43,Debit Card,delivered,Delhi,India
O00000056,U000430,2024-10-18 21:53:27,2,19224.8,0.0,3460.46,0.0,22685.26,Credit Card,delivered,Surat,India
O00000057,U000312,2024-05-04 10:53:56,6,82630.65,0.0,14873.52,5552.84,97504.17,Credit Card,delivered,Hyderabad,India
O00000058,U000110,2023-12-23 00:40:59,2,41454.98,0.0,7461.9,0.0,48916.88,Debit Card,delivered,Lucknow,India
O00000059,U000207,2024-10-30 20:09:58,8,91691.62,0.0,16504.49,0.0,108196.11,Net Banking,delivered,Delhi,India
O00000060,U000314,2023-05-21 20:17:04,1,7809.92,0.0,1405.79,0.0,9215.71,Credit Card,delivered,Jaipur,India
O00000061,U000480,2024-12-13 07:54:52,1,2352.68,0.0,423.48,0.0,2776.16,COD,delivered,Sydney,Australia
O00000062,U000330,2023-07-06 21:50:13,2,14181.61,0.0,2552.69,1664.21,16734.3,COD,delivered,Jaipur,India
O00000063,U000333,2024-05-02 13:29:04,9,57194.57,0.0,10295.02,9279.66,67489.59,Debit Card,shipped,Hamburg,Germany
O00000064,U000389,2024-04-01 10:36:26,2,4403.54,0.0,792.64,265.76,5196.18,UPI,delivered,Ahmedabad,India
O00000065,U000246,2023-03-06 00:47:02,2,22582.55,0.0,4064.86,0.0,26647.41,Credit Card,delivered,Patna,India
O00000066,U000195,2024-02-23 04:28:24,8,97749.94,0.0,17594.99,3392.47,115344.93,UPI,delivered,Munich,Germany
O00000067,U000206,2024-03-12 09:22:21,1,7397.47,0.0,1331.54,0.0,8729.01,UPI,delivered,Bhopal,India
O00000068,U000487,2024-03-12 15:57:51,4,16791.95,0.0,3022.55,4911.59,19814.5,UPI,shipped,Patna,India
O00000069,U000422,2024-07-02 19:19:31,6,28981.53,0.0,5216.68,1205.03,34198.21,UPI,delivered,Jaipur,India
O00000070,U000286,2023-07-25 13:26:57,5,31433.8,0.0,5658.08,0.0,37091.88,Credit Card,cancelled,Sharjah,United Arab Emirates
O00000071,U000080,2023-07-26 23:41:47,4,54140.9,0.0,9745.36,2089.41,63886.26,Debit Card,delivered,Nagpur,India
O00000072,U000123,2024-04-27 01:09:16,7,43329.76,0.0,7799.36,6597.88,51129.12,Net Banking,pending,Patna,India
O00000073,U000084,2024-11-28 17:36:24,3,21137.8,0.0,3804.8,3143.45,24942.6,Credit Card,delivered,Hyderabad,India
O00000074,U000154,2023-03-19 12:46:53,3,31930.15,0.0,5747.43,2140.24,37677.58,UPI,pending,Mumbai,India
O00000075,U000203,2024-01-22 02:54:46,7,50225.23,0.0,9040.54,11675.08,59265.77,Credit Card,delivered,Delhi,India
O00000076,U000336,2022-07-01 21:09:03,7,33368.39,0.0,6006.31,4206.74,39374.7,UPI,pending,Kochi,India
O00000077,U000281,2024-06-02 22:28:11,1,4893.5,0.0,880.83,0.0,5774.33,Credit Card,delivered,Kolkata,India
O00000078,U000057,2024-07-13 11:21:08,10,68351.0,0.0,12303.18,0.0,80654.18,Credit Card,delivered,Birmingham,United Kingdom
O00000079,U000014,2023-05-16 04:09:19,6,35678.59,0.0,6422.15,3187.1,42100.74,UPI,pending,Delhi,India
O00000080,U000028,2024-10-02 08:06:39,4,37626.86,0.0,6772.83,8125.7,44399.69,Credit Card,delivered,Coimbatore,India
O00000081,U000023,2024-02-04 04:12:58,7,33519.13,0.0,6033.44,3066.33,39552.57,UPI,delivered,Pune,India
O00000082,U000477,2023-05-15 15:39:14,12,95626.53,0.0,17212.78,5959.02,112839.31,Credit Card,delivered,Sharjah,United Arab Emirates
O00000083,U000376,2024-07-26 11:17:26,4,32476.62,0.0,5845.79,5271.06,38322.41,Credit Card,delivered,Indore,India
O00000084,U000469,2022-01-09 00:31:12,6,48923.61,0.0,8806.25,2158.83,57729.86,UPI,delivered,Chicago,United States
O00000085,U000205,2024-07-11 09:45:32,2,26869.92,0.0,4836.59,0.0,31706.51,Credit Card,shipped,Nagpur,India
O00000086,U000431,2022-06-18 23:58:40,6,50149.73,0.0,9026.95,2922.46,59176.68,Net Banking,delivered,Ahmedabad,India
O00000087,U000378,2021-07-07 06:34:34,3,4731.06,0.0,851.59,0.0,5582.65,Credit Card,delivered,Patna,India
O00000088,U000185,2023-11-24 12:11:28,1,13596.68,0.0,2447.4,0.0,16044.08,UPI,shipped,Kolkata,India
O00000089,U000290,2024-06-27 07:25:04,1,10356.93,0.0,1864.25,0.0,12221.18,Debit Card,delivered,Indore,India
O00000090,U000367,2021-11-15 10:02:13,5,41276.12,0.0,7429.7,10523.71,48705.82,UPI,delivered,Hyderabad,India
O00000091,U000029,2024-09-04 08:13:31,5,62601.11,0.0,11268.2,8550.69,73869.31,Credit Card,delivered,Coimbatore,India
O00000092,U000272,2024-04-27 02:27:25,3,42434.46,0.0,7638.2,0.0,50072.66,UPI,delivered,Melbourne,Australia
O00000093,U000229,2024-08-05 07:30:19,4,29399.72,0.0,5291.95,0.0,34691.67,UPI,delivered,Chandigarh,India
O00000094,U000373,2024-04-05 22:32:18,3,30855.33,0.0,5553.96,0.0,36409.29,Debit Card,delivered,Kolkata,India
O00000095,U000061,2023-06-05 17:34:17,4,43701.21,0.0,7866.22,3077.91,51567.43,UPI,delivered,Munich,Germany
O00000096,U000240,2024-09-20 10:21:55,9,38244.87,0.0,6884.08,0.0,45128.95,UPI,delivered,Hamburg,Germany
O00000097,U000477,2023-07-13 01:50:57,8,49973.69,0.0,8995.26,1139.27,58968.95,Credit Card,pending,Sharjah,United Arab Emirates
O00000098,U000004,2022-12-28 18:26:29,7,85720.25,0.0,15429.64,0.0,101149.89,Credit Card,delivered,Indore,India
O00000099,U000117,2023-03-13 14:47:40,4,43056.11,0.0,7750.1,3156.64,50806.21,COD,delivered,Bengaluru,India
O00000100,U000300,2021-10-28 15:55:46,1,18407.64,0.0,3313.38,0.0,21721.02,UPI,cancelled,Mumbai,India
O00000101,U000038,2024-08-17 15:25:16,8,78857.47,0.0,14194.34,1544.29,93051.81,Credit Card,delivered,Lucknow,India
O00000102,U000386,2021-07-24 20:40:07,9,146843.79,0.0,26431.88,0.0,173275.67,COD,delivered,Ahmedabad,India
O00000103,U000279,2024-01-10 17:23:12,7,70066.13,0.0,12611.9,19256.39,82678.03,UPI,cancelled,Nagpur,India
O00000104,U000218,2022-03-22 04:08:34,4,34459.86,0.0,6202.77,7021.06,40662.63,Credit Card,delivered,Nagpur,India
O00000105,U000392,2024-03-31 20:19:49,3,18430.29,0.0,3317.45,2670.76,21747.74,Credit Card,pending,Kochi,India
O00000106,U000056,2024-08-10 06:24:45,7,50964.96,0.0,9173.69,14968.43,60138.65,Debit Card,returned,Bengaluru,India
O00000107,U000090,2024-12-01 16:11:04,3,17236.98,0.0,3102.66,0.0,20339.64,Credit Card,delivered,Chandigarh,India
O00000108,U000394,2024-07-27 01:05:29,4,34608.53,0.0,6229.54,4980.34,40838.07,UPI,shipped,Nagpur,India
O00000109,U000208,2023-08-19 12:29:17,1,7870.95,0.0,1416.77,2365.16,9287.72,UPI,delivered,Surat,India
O00000110,U000110,2021-09-08 19:48:47,5,40048.32,0.0,7208.7,0.0,47257.02,UPI,delivered,Kochi,India
O00000111,U000026,2022-05-30 08:28:40,4,46180.29,0.0,8312.45,0.0,54492.74,Debit Card,delivered,Pune,India
O00000112,U000177,2023-02-20 08:48:51,5,31456.45,0.0,5662.16,1007.85,37118.61,Credit Card,delivered,Kochi,India
O00000113,U000031,2022-10-04 02:40:58,6,49551.02,0.0,8919.18,0.0,58470.2,Net Banking,delivered,Patna,India
O00000114,U000293,2023-05-30 08:18:37,2,8490.34,0.0,1528.26,0.0,10018.6,UPI,delivered,Chandigarh,India
O00000115,U000302,2023-11-05 21:11:08,7,83864.2,0.0,15095.56,7767.97,98959.76,Credit Card,delivered,Ahmedabad,India
O00000116,U000496,2024-09-18 19:52:50,11,75812.91,0.0,13646.32,0.0,89459.23,Debit Card,delivered,Bhopal,India
O00000117,U000170,2023-10-18 01:20:33,3,20139.6,0.0,3625.13,0.0,23764.73,Debit Card,delivered,Indore,India
O00000118,U000039,2024-01-30 00:04:09,3,19158.54,0.0,3448.54,0.0,22607.08,UPI,delivered,London,United Kingdom
O00000119,U000368,2024-10-20 11:00:22,2,16352.2,0.0,2943.4,0.0,19295.6,Debit Card,delivered,Pune,India
O00000120,U000486,2024-11-20 05:27:10,4,15658.84,0.0,2818.59,1408.86,18477.43,Credit Card,delivered,Hyderabad,India
O00000121,U000361,2022-09-11 16:52:44,8,88873.34,0.0,15997.2,6213.62,104870.54,Debit Card,delivered,Berlin,Germany
O00000122,U000441,2024-05-11 09:39:53,8,71680.22,0.0,12902.44,0.0,84582.66,Credit Card,delivered,Surat,India
O00000123,U000454,2023-11-05 02:17:17,1,7844.69,0.0,1412.04,1926.85,9256.73,Credit Card,delivered,Kochi,India
O00000124,U000112,2023-04-16 11:08:51,9,85656.15,0.0,15418.11,1737.36,101074.26,UPI,delivered,Pune,India
O00000125,U000454,2024-03-07 19:10:53,1,12841.83,0.0,2311.53,2014.67,15153.36,UPI,pending,Kochi,India
